title,description,price,rating,reviews,additional_info
Acer Aspire ES1-732 Black,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",410.46,4,14,"{'128': 410.46, '256': 430.46, '512': 450.46, '1024': 470.46}"
Asus VivoBook 15 X540NA-GQ026T,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",410.66,4,4,"{'128': 410.66, '256': 430.66, '512': 450.66, '1024': 470.66}"
Packard 255 G2,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",416.99,2,2,"{'128': 416.99, '256': 436.99, '512': 456.99, '1024': 476.99}"
Asus EeeBook R416NA-FA014T,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",433.3,1,1,"{'128': 433.3, '256': 453.3, '512': 473.3, '1024': 493.3}"
Acer Aspire 3 A315-51,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",436.29,1,1,"{'128': 436.29, '256': 456.29, '512': 476.29, '1024': 496.29}"
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",436.29,1,2,"{'128': 436.29, '256': 456.29, '512': 476.29, '1024': 496.29}"
Acer Extensa 15 (2540) Black,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",439.73,4,6,"{'128': 439.73, '256': 459.73, '512': 479.73, '1024': 499.73}"
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",454.62,1,9,"{'128': 454.62, '256': 474.62, '512': 494.62, '1024': 514.62}"
Lenovo V110-15ISK,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",454.73,2,2,"{'128': 454.73, '256': 474.73, '512': 494.73, '1024': 514.73}"
Acer Aspire A315-51-33TG,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",457.38,3,9,"{'128': 457.38, '256': 477.38, '512': 497.38, '1024': 517.38}"
Lenovo V110-15IKB,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",465.95,1,7,"{'128': 465.95, '256': 485.95, '512': 505.95, '1024': 525.95}"
Asus VivoBook 15 X540UA-DM260 Chocolate Black,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",468.56,3,1,"{'128': 468.56, '256': 488.56, '512': 508.56, '1024': 528.56}"
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",469.1,3,5,"{'128': 469.1, '256': 489.1, '512': 509.1, '1024': 529.1}"
Lenovo V510 Black,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",484.23,3,8,"{'128': 484.23, '256': 504.23, '512': 524.23, '1024': 544.23}"
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",485.9,3,6,"{'128': 485.9, '256': 505.9, '512': 525.9, '1024': 545.9}"
Lenovo V510 Black,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",487.8,2,9,"{'128': 487.8, '256': 507.8, '512': 527.8, '1024': 547.8}"
Acer Swift 1 SF113-31 Silver,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",488.64,3,4,"{'128': 488.64, '256': 508.64, '512': 528.64, '1024': 548.64}"
Dell Vostro 15,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",488.78,4,14,"{'128': 488.78, '256': 508.78, '512': 528.78, '1024': 548.78}"
Acer Aspire 3 A315-51 Black,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",494.71,4,2,"{'128': 494.71, '256': 514.71, '512': 534.71, '1024': 554.71}"
Dell Vostro 15 (3568) Red,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",497.17,1,9,"{'128': 497.17, '256': 517.1700000000001, '512': 537.1700000000001, '1024': 557.1700000000001}"
Lenovo V510 Black,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",498.23,3,5,"{'128': 498.23, '256': 518.23, '512': 538.23, '1024': 558.23}"
HP 250 G3,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",520.99,2,13,"{'128': 520.99, '256': 540.99, '512': 560.99, '1024': 580.99}"
Acer Spin 5,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",564.98,2,0,"{'128': 564.98, '256': 584.98, '512': 604.98, '1024': 624.98}"
HP 350 G1,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",577.99,2,10,"{'128': 577.99, '256': 597.99, '512': 617.99, '1024': 637.99}"
Aspire E1-572G,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",581.99,1,2,"{'128': 581.99, '256': 601.99, '512': 621.99, '1024': 641.99}"
Pavilion,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",609.99,1,4,"{'128': 609.99, '256': 629.99, '512': 649.99, '1024': 669.99}"
Acer Aspire A515-51-5654,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",679.0,2,9,"{'128': 679.0, '256': 699.0, '512': 719.0, '1024': 739.0}"
Dell Inspiron 15,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",679.0,2,7,"{'128': 679.0, '256': 699.0, '512': 719.0, '1024': 739.0}"
Asus VivoBook S14,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",729.0,1,2,"{'128': 729.0, '256': 749.0, '512': 769.0, '1024': 789.0}"
ProBook,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",739.99,4,8,"{'128': 739.99, '256': 759.99, '512': 779.99, '1024': 799.99}"
Inspiron 15,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",745.99,3,12,"{'128': 745.99, '256': 765.99, '512': 785.99, '1024': 805.99}"
Asus ROG STRIX GL553VD-DM256,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",799.0,2,7,"{'128': 799.0, '256': 819.0, '512': 839.0, '1024': 859.0}"
Acer Nitro 5 AN515-51,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",809.0,1,0,"{'128': 809.0, '256': 829.0, '512': 849.0, '1024': 869.0}"
Asus ROG STRIX GL553VD-DM256,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",899.0,1,7,"{'128': 899.0, '256': 919.0, '512': 939.0, '1024': 959.0}"
Lenovo ThinkPad L570,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",999.0,3,11,"{'128': 999.0, '256': 1019.0, '512': 1039.0, '1024': 1059.0}"
ThinkPad Yoga,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",1033.99,2,13,"{'128': 1033.99, '256': 1053.99, '512': 1073.99, '1024': 1093.99}"
Lenovo ThinkPad L460,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",1096.02,4,14,"{'128': 1096.02, '256': 1116.02, '512': 1136.02, '1024': 1156.02}"
Dell Inspiron 15 (7567) Black,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",1098.42,1,7,"{'128': 1098.42, '256': 1118.42, '512': 1138.42, '1024': 1158.42}"
MSI GL72M 7RDX,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",1099.0,4,1,"{'128': 1099.0, '256': 1119.0, '512': 1139.0, '1024': 1159.0}"
MSI GL72M 7RDX,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",1099.0,1,9,"{'128': 1099.0, '256': 1119.0, '512': 1139.0, '1024': 1159.0}"
Asus ROG Strix GL553VD-DM535T,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",1101.83,2,4,"{'128': 1101.83, '256': 1121.83, '512': 1141.83, '1024': 1161.83}"
Dell Latitude 5280,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",1102.66,1,8,"{'128': 1102.66, '256': 1122.66, '512': 1142.66, '1024': 1162.66}"
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",1110.14,3,4,"{'128': 1110.14, '256': 1130.14, '512': 1150.14, '1024': 1170.14}"
Lenovo Legion Y520-15IKBM,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",1112.91,4,1,"{'128': 1112.91, '256': 1132.91, '512': 1152.91, '1024': 1172.91}"
Toshiba Portege Z30-C-16J Grey,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",1114.55,1,0,"{'128': 1114.55, '256': 1134.55, '512': 1154.55, '1024': 1174.55}"
Acer Predator Helios 300 (PH317-51),"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",1123.87,2,1,"{'128': 1123.87, '256': 1143.87, '512': 1163.87, '1024': 1183.87}"
Acer Aspire 7 A715-71G,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",1123.87,2,4,"{'128': 1123.87, '256': 1143.87, '512': 1163.87, '1024': 1183.87}"
Dell Inspiron 17 2in1 (7779) Silver,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",1124.2,3,10,"{'128': 1124.2, '256': 1144.2, '512': 1164.2, '1024': 1184.2}"
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",1133.82,4,14,"{'128': 1133.82, '256': 1153.82, '512': 1173.82, '1024': 1193.82}"
Lenovo Legion Y520,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",1133.91,1,13,"{'128': 1133.91, '256': 1153.91, '512': 1173.91, '1024': 1193.91}"
Asus AsusPro Advanced BU401LA-FA271G Dark Grey,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",1139.54,3,7,"{'128': 1139.54, '256': 1159.54, '512': 1179.54, '1024': 1199.54}"
Acer Nitro 5 AN515-51,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",1140.62,3,14,"{'128': 1140.62, '256': 1160.62, '512': 1180.62, '1024': 1200.62}"
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",1143.4,4,5,"{'128': 1143.4, '256': 1163.4, '512': 1183.4, '1024': 1203.4}"
Dell Inspiron 15 (7567) Black,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",1144.2,1,2,"{'128': 1144.2, '256': 1164.2, '512': 1184.2, '1024': 1204.2}"
Dell Latitude 5580,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",1144.4,3,10,"{'128': 1144.4, '256': 1164.4, '512': 1184.4, '1024': 1204.4}"
Lenovo Legion Y520-15IKBM,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",1149.0,3,11,"{'128': 1149.0, '256': 1169.0, '512': 1189.0, '1024': 1209.0}"
MSI GP62M 7RDX Leopard,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",1149.0,1,11,"{'128': 1149.0, '256': 1169.0, '512': 1189.0, '1024': 1209.0}"
Lenovo Yoga 720 Grey,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",1149.73,2,12,"{'128': 1149.73, '256': 1169.73, '512': 1189.73, '1024': 1209.73}"
Toshiba Portege Z30-C-16L Grey,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",1154.04,1,7,"{'128': 1154.04, '256': 1174.04, '512': 1194.04, '1024': 1214.04}"
Acer TravelMate P645-S-511A Black,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",1170.1,1,0,"{'128': 1170.1, '256': 1190.1, '512': 1210.1, '1024': 1230.1}"
Dell Latitude 5580,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",1178.19,3,6,"{'128': 1178.19, '256': 1198.19, '512': 1218.19, '1024': 1238.19}"
ThinkPad T540p,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",1178.99,1,2,"{'128': 1178.99, '256': 1198.99, '512': 1218.99, '1024': 1238.99}"
MSI GS63 7RD Stealth,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",1179.0,1,2,"{'128': 1179.0, '256': 1199.0, '512': 1219.0, '1024': 1239.0}"
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",1187.88,3,5,"{'128': 1187.88, '256': 1207.88, '512': 1227.88, '1024': 1247.88}"
Acer Predator Helios 300 (PH317-51),"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",1187.98,3,14,"{'128': 1187.98, '256': 1207.98, '512': 1227.98, '1024': 1247.98}"
MSI GL62M 7REX,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",1199.0,1,7,"{'128': 1199.0, '256': 1219.0, '512': 1239.0, '1024': 1259.0}"
MSI GL62M 7REX2,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",1199.0,2,12,"{'128': 1199.0, '256': 1219.0, '512': 1239.0, '1024': 1259.0}"
Lenovo Yoga 910 Grey,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",1199.73,3,7,"{'128': 1199.73, '256': 1219.73, '512': 1239.73, '1024': 1259.73}"
Toshiba Portege X30-D-10J Black/Blue,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",1203.41,4,13,"{'128': 1203.41, '256': 1223.41, '512': 1243.41, '1024': 1263.41}"
Lenovo IdeaPad Miix 510 Platinum Silver,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",1212.16,4,0,"{'128': 1212.16, '256': 1232.16, '512': 1252.16, '1024': 1272.16}"
Acer Predator Helios 300 (PH317-51),"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",1221.58,1,9,"{'128': 1221.58, '256': 1241.58, '512': 1261.58, '1024': 1281.58}"
ThinkPad Yoga,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",1223.99,3,2,"{'128': 1223.99, '256': 1243.99, '512': 1263.99, '1024': 1283.99}"
Asus VivoBook Pro 15 N580VN-FI006T Gold Metal,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",1235.49,2,10,"{'128': 1235.49, '256': 1255.49, '512': 1275.49, '1024': 1295.49}"
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",1238.37,2,0,"{'128': 1238.37, '256': 1258.37, '512': 1278.37, '1024': 1298.37}"
Asus ZenBook UX530UX-FY040T Blue,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",1239.2,1,14,"{'128': 1239.2, '256': 1259.2, '512': 1279.2, '1024': 1299.2}"
ThinkPad X230,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",1244.99,3,10,"{'128': 1244.99, '256': 1264.99, '512': 1284.99, '1024': 1304.99}"
Asus ROG Strix GL753VE-GC096T,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",1259.0,4,7,"{'128': 1259.0, '256': 1279.0, '512': 1299.0, '1024': 1319.0}"
"Apple MacBook Air 13""","Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",1260.13,4,8,"{'128': 1260.13, '256': 1280.13, '512': 1300.13, '1024': 1320.13}"
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",1271.06,1,13,"{'128': 1271.06, '256': 1291.06, '512': 1311.06, '1024': 1331.06}"
Hewlett Packard Spectre 13-v106na Dark Ash Silver,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",1273.11,3,8,"{'128': 1273.11, '256': 1293.11, '512': 1313.11, '1024': 1333.11}"
Dell XPS 13,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",1281.99,3,4,"{'128': 1281.99, '256': 1301.99, '512': 1321.99, '1024': 1341.99}"
Toshiba Portege Z30-C-16K Grey,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",1294.74,1,6,"{'128': 1294.74, '256': 1314.74, '512': 1334.74, '1024': 1354.74}"
MSI GL62VR 7RFX,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",1299.0,3,1,"{'128': 1299.0, '256': 1319.0, '512': 1339.0, '1024': 1359.0}"
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",1310.39,3,8,"{'128': 1310.39, '256': 1330.39, '512': 1350.39, '1024': 1370.39}"
ThinkPad X240,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",1311.99,3,12,"{'128': 1311.99, '256': 1331.99, '512': 1351.99, '1024': 1371.99}"
Hewlett Packard ProBook 640 G3,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",1326.83,1,2,"{'128': 1326.83, '256': 1346.83, '512': 1366.83, '1024': 1386.83}"
"Apple MacBook Pro 13"" Space Gray","Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",1333.0,1,0,"{'128': 1333.0, '256': 1353.0, '512': 1373.0, '1024': 1393.0}"
Dell Latitude 5580,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",1337.28,1,6,"{'128': 1337.28, '256': 1357.28, '512': 1377.28, '1024': 1397.28}"
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",1338.37,2,11,"{'128': 1338.37, '256': 1358.37, '512': 1378.37, '1024': 1398.37}"
Dell Latitude 5580,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",1341.22,3,3,"{'128': 1341.22, '256': 1361.22, '512': 1381.22, '1024': 1401.22}"
"Apple MacBook Air 13""","Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",1347.78,2,11,"{'128': 1347.78, '256': 1367.78, '512': 1387.78, '1024': 1407.78}"
Lenovo ThinkPad T470,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",1349.23,1,5,"{'128': 1349.23, '256': 1369.23, '512': 1389.23, '1024': 1409.23}"
Lenovo ThinkPad Yoga 370 Black,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",1362.24,2,12,"{'128': 1362.24, '256': 1382.24, '512': 1402.24, '1024': 1422.24}"
